Replicate,Species,Origin,Invasion,N,P,L,C,Cel,CF,,,,,,,,,,,,,,,
AL1,Albizia lebbeck,Native,Native,1.27,0.11,25.31,41.52,27.90,21.00,,,,,,,,,,,,,,,
AL2,Albizia lebbeck,Native,Native,1.64,0.10,23.65,39.44,25.00,31.00,,,,,,,,,,,,,,,
AL3,Albizia lebbeck,Native,Native,1.51,0.10,24.52,46.55,26.00,24.00,,,,,,,,,,,,,,,
Ai1,Azadirachta indica,Native,Native,1.12,0.11,20.56,44.31,29.40,32.20,,,,,,,,,,,,,,,
Ai2,Azadirachta indica,Native,Native,1.25,0.14,27.35,43.50,19.00,29.00,,,,,,,,,,,,,,,
Ai3,Azadirachta indica,Native,Native,1.17,0.12,22.23,47.21,23.00,29.30,,,,,,,,,,,,,,,
Ds1,Dalbergia sissoo,Native,Native,1.22,0.08,28.62,45.92,36.20,45.10,,,,,,,,,,,,,,,
Ds2,Dalbergia sissoo,Native,Native,1.18,0.07,17.52,43.62,36.70,44.00,,,,,,,,,,,,,,,
Ds3,Dalbergia sissoo,Native,Native,1.31,0.08,21.18,50.88,34.00,43.00,,,,,,,,,,,,,,,
Pp1,Pongamia pinnata,Native,Native,2.96,0.17,18.01,45.89,48.40,21.20,,,,,,,,,,,,,,,
Pp2,Pongamia pinnata,Native,Native,2.98,0.25,19.02,46.65,51.80,22.00,,,,,,,,,,,,,,,
Pp3,Pongamia pinnata,Native,Native,2.83,0.22,14.03,40.98,48.00,19.00,,,,,,,,,,,,,,,
Ta1,Terminalia arjuna,Native,Native,1.22,0.14,21.46,45.00,33.50,40.00,,,,,,,,,,,,,,,
Ta2,Terminalia arjuna,Native,Native,1.30,0.13,20.43,47.00,26.80,38.00,,,,,,,,,,,,,,,
Ta3,Terminalia arjuna,Native,Native,1.20,0.13,22.41,46.00,28.00,36.00,,,,,,,,,,,,,,,
Bp1,Broussonetia papyrifera,Exotic,Invasive,3.65,0.26,7.28,41.20,9.20,29.00,,,,,,,,,,,,,,,
Bp2,Broussonetia papyrifera,Exotic,Invasive,3.92,0.22,6.58,42.80,11.00,48.50,,,,,,,,,,,,,,,
Bp3,Broussonetia papyrifera,Exotic,Invasive,3.78,0.22,8.29,42.00,9.00,36.00,,,,,,,,,,,,,,,
Eg1,Eucalyptus globulus,Exotic,Exotic,1.10,0.10,25.12,48.00,15.90,32.00,,,,,,,,,,,,,,,
Eg2,Eucalyptus globulus,Exotic,Exotic,1.10,0.09,27.53,46.00,20.50,33.00,,,,,,,,,,,,,,,
Eg3,Eucalyptus globulus,Exotic,Exotic,1.20,0.10,21.24,47.00,17.00,31.10,,,,,,,,,,,,,,,
Gr1,Grevillea robusta,Exotic,Exotic,1.03,0.07,26.26,47.51,13.70,22.60,,,,,,,,,,,,,,,
Gr2,Grevillea robusta,Exotic,Exotic,1.00,0.07,29.28,48.89,14.00,8.50,,,,,,,,,,,,,,,
Gr3,Grevillea robusta,Exotic,Exotic,1.01,0.07,23.24,47.91,13.10,12.00,,,,,,,,,,,,,,,
Lc1,Lantana camara,Exotic,Invasive,3.59,0.19,12.04,42.89,2.00,43.90,,,,,,,,,,,,,,,
Lc2,Lantana camara,Exotic,Invasive,2.68,0.17,14.80,43.83,2.20,46.40,,,,,,,,,,,,,,,
Lc3,Lantana camara,Exotic,Invasive,2.38,0.19,13.60,43.49,2.10,47.00,,,,,,,,,,,,,,,
LL1,Leucaena leucocephala,Exotic,Invasive,2.96,0.19,14.90,44.01,8.00,17.80,,,,,,,,,,,,,,,
LL2,Leucaena leucocephala,Exotic,Invasive,2.97,0.18,17.86,42.00,9.80,41.00,,,,,,,,,,,,,,,
LL3,Leucaena leucocephala,Exotic,Invasive,2.98,0.21,11.65,43.00,8.10,28.90,,,,,,,,,,,,,,,
